id,name,original_name,overview,first_air_date,original_language,origin_country,popularity,vote_average,vote_count,genre_ids,poster_path,backdrop_path
93405,오징어 게임,오징어 게임,빚에 쫓기는 수백 명의 사람들이 서바이벌 게임에 뛰어든다. 거액의 상금으로 새로운 삶을 시작하기 위해. 하지만 모두 승자가 될 순 없는 법. 탈락하는 이들은 치명적인 결과를 각오해야 한다.,2021-09-17,ko,KR,2108.202,7.868,16160,"10759,9648,18",/yACIAqAkSLkX4coHafpyLWAtQjw.jpg,/2meX1nMdScFOoV4370rqHWKmXhY.jpg
70672,아는 형님,아는 형님,"2015년 12월 JTBC에서 방영을 시작한 버라이어티 쇼. 세상의 모든 질문을 그들만의 방식으로 풀어주는 아는 형님. 인생을 살다 보면 마주치게 되는 사소하지만 궁금해 견딜 수 없는 질문들. 그럴 땐 질문하라. 아는 형님이 답할 것이다. 나이도, 출신도, 성격도, 외모도 전혀 다르지만 인생 좀 살아 본, 그래서 인생을 좀 아는 형님들이 모여 그들만의 방식으로 추측하고 실험하고 전해주는 아는 형님만의 인생 해답. 지금부터 우리에게 속 시원한 답을 주기 위해 벌이는 형님들의 고군분투가 시작된다.",2015-12-05,ko,KR,294.715,7.528,36,"10764,35",/zak7mqMxJGnnWplSdbjDtV7bg2Y.jpg,/a8a8z4aJr40zYgRMfmSESppX2eO.jpg
65270,라디오스타,라디오스타,"2007년 5월 30일부터 MBC TV에서 방송되고 있는 예능 프로그램으로, 라디오 프로그램들의 '보이는 라디오'를 이용하여 들리는 TV로 콘셉트를 잡아 현재까지 방송되고 있는 코너이다. 진행자들은 각각 DJ로 불리며, 매주 다양한 게스트들을 초대해서 근황에 대해 여러가지 질문을 하고 답하는 리얼 토크쇼 프로그램이다. 개인별 초대손님의 경우 한 번에 최대 4명을, 그룹의 경우 최대 5명의 초대손님으로 최대 3회까지 녹화한다.",2007-05-30,ko,KR,298.927,7.3,3,10767,/ofo50w2DTFcPkOm3iguWGU3Y8cw.jpg,/kCd0rmnNwCd3sgupO9DqSi9aHa0.jpg
5092,무한도전,무한도전,대한민국 평균 이하임을 자처하는 남자들이 매주 새로운 상황 속에서 펼치는 좌충우돌 도전기,2005-04-23,ko,KR,281.7947,7.6,19,"10764,35",/fpXfEfcZu5uDTOKqjwXSGgrL4iY.jpg,/s2qJb1FLwp1Mse9lY08JqgMp0kw.jpg
30801,1박 2일,1박 2일,"우리가 알고 있는, 우리가 알지 못하는 아름다운 우리나라. 유쾌한 여섯 남자와 함께 1박 2일의 여행을 떠나는 프로그램",2007-08-05,ko,KR,179.8834,7.4,24,"3,510,764",/aTixMf5OaKA50QNvcKv18X9SLjX.jpg,/sDoSavurRsckAldstpCvUs30A6P.jpg
72896,미운 우리 새끼,미운 우리 새끼,"* 당신은 아들에 대해 얼마나 알고 있습니까?  오늘 내 아들이 누구를 만나서 어떤 이야기를 들었는지...  왜 오늘따라 얼굴이 어두워 보이는지, 혹은 왜 이렇게 들떠 보이는지~  식탐은 갑자기 왜 이렇게 늘어난거며, 쉬는 날은 왜 이렇게 잠만 자는 건지...  당신은.. 당신의 아들에 대해 얼마나 알고 있습니까? * 엄마의 다시 쓰는 육아일기!",2016-08-26,ko,KR,159.7233,5.5,6,"1,076,410,767",/5FQzjkx3zxxHNTzOqw9qMweQ4rd.jpg,/vrLDuQ5L45f7vFWpMT17WopdWx0.jpg
78648,놀라운 토요일,놀라운 토요일,‘좋아요’ 폭발하는 SNS 핵 공감 핫 플레이스부터 오랜 전통이 살아 숨 쉬는 노포까지! 혀르가즘 자극하는 시장의 먹거리를 얻기 위한 MC군단의 자존심을 건 미션 수행! 고막 오픈! ‘도레미♪’ 흥겨운 음악을 듣고 가사를 맞히면 침샘 개장! ‘마켓’ 시장의 군침 가득 먹거리를 누릴 수 있다! 과연 MC 군단은 정신 혼미한 미션을 이겨내고 맛있는 음식을 먹을 수 있을까? 전국에 핫한 시장 속 핫한 음식을 걸고 펼쳐지는 MC 군단의 고군분투기! ‘도레미 마켓’!,2018-04-07,ko,KR,157.6204,7.333,9,"3,510,764",/pnibkuL74C33GoKLTXAmF4nl3a6.jpg,/pNdUVPm6RwvG9Ycd2cuYpLbM7lk.jpg
134864,MBC 베스트극장,MBC 베스트극장,"1991년부터 2007년까지 매주 단막극을 선보였던 프로그램.

지금 사랑하는 사람이 있다면, 그의 마음을 몰라 고민이 되거나, 혹은 그의 마음을 100% 알기 때문에 연애에 탄력을 잃었다고 생각하는 사람은 이 드라마와 함께 진실한 사랑찾기 여행을 떠나십시오",1991-07-07,ko,KR,133.1006,7,1,18,/u93t32JtNJlyQu3UNQS2GI9kCA6.jpg,
64356,슈퍼맨이 돌아왔다,슈퍼맨이 돌아왔다,아내 없이 아이들을 돌보는 연예인 아빠들의 육아 도전기,2013-11-03,ko,KR,106.7098,7.8,13,10764,/iP2OjFhiiMnowebltmXgAxJowKP.jpg,/4P2gbaCGdZyP4i95TmmA6nS9HJh.jpg
83319,BANGTAN BOMB,BANGTAN BOMB,,2013-06-19,ko,KR,96.0281,9.5,2,10764,/i01uYYJoovqILhexlYA6E1CHh56.jpg,
64300,못난이 주의보,못난이 주의보,공준수의 가족을 위한 희생을 통해 서로의 상처를 보듬으며 성장해가는 진실한 가족의 사랑 이야기를 담은 드라마,2013-05-20,ko,KR,66.1655,9,6,"18,10751,35",/vdrDOjK15jZOcrxWAUyeNz2L8F1.jpg,/3RpaFRSPqFcH4p3d8TTRvfqr6lJ.jpg
64369,TV 동물농장,TV 동물농장,"야생의 자연을 누비는, 혹은 우리 곁에서 함께 호흡하며 살아가는 수십만 종의 동물들! 인간과 밀접한 생활을 나누는 이들을 우리는 얼마나 진심으로 이해하고 있는가? 본 기획에서는 인간 중심의 사회에서 벗어나, 인간과 동물 그 진정한 커뮤니케이션을 추구하는 동물 전문 프로그램",2001-05-06,ko,KR,97.0843,6.667,3,"1,075,110,764",/7FZZHXxlujrtq3EUkP78tm5aVkX.jpg,/1eUNe8eP5GnEL6RLgPLSVOiVTvU.jpg
244984,아이돌 라디오,아이돌 라디오,,2018-07-23,ko,KR,85.7309,0,0,,/2WhGGrPijenQ7YnpT76apErZgjP.jpg,/qV98q6BLTHWBVjVZQdwUkQhzD9y.jpg
105194,남자 셋 여자 셋,남자 셋 여자 셋,건전한 캠퍼스 생활을 통해 유쾌한 웃음을 선사하는 청춘 시트콤을 가미한 캠퍼스 드라마,1996-10-21,ko,KR,101.1461,0,0,35,/k7WJy6YdiONTn5Y9PQiu0AN23MP.jpg,
96804,이달의소녀탐구,이달의소녀탐구,,2016-10-12,ko,KR,82.2063,7,3,"10764,35",/i4afg3YM6wfdDsNjK95pIO2MAUR.jpg,/xpVVR4gfM8P9uW1JUPg1NMAWqLn.jpg
82833,문제적남자,문제적남자,독창적인 사고방식을 가진 여섯 남자들이 고퀄리티 문제들을 두고 열띤 토크를 진행하는 프로그램,2015-02-26,ko,KR,43.2687,8,1,10767,/iKR1knS6AqjdLzA0usesdGepg0d.jpg,/vOG8zcN5C2c21FsyHotQReuTZAV.jpg
86908,EXO의 사다리 타고 세계여행,EXO의 사다리 타고 세계여행,운명의 사다리와 함께 떠난 EXO의 예측불허 세계 여행! 성격도 취향도 다른 멤버들은 과연 어떤 여행을 하게 될까? 엑소의 리얼 여행 프로그램,2018-05-21,ko,KR,32.5517,9.7,3,,/rT0HMyZNRiXLuuQOnNgwkjSc7WE.jpg,/iAaqK3sjdrqUgOxY6nMNjEv7V9Y.jpg
231280,굿보이,굿보이,특채로 경찰이 된 국제대회 메달리스트들이 메달 대신 경찰신분증을 목에 걸고 비양심과 반칙이 판치는 세상에 맞서기 위해 뭉친 이야기,2025-05-31,ko,KR,79.0447,8.7,44,"80,35,10759,18",/ueD2DGhDZbaiYT7Ibi2wqDYkPyH.jpg,/hYwZR2P8MNJZz2Dnj68M8bUOfLt.jpg
66130,그것이 알고싶다,그것이 알고싶다,"SBS의 대표적인 시사고발 프로그램으로 사회, 종교, 미제사건 등 다양한 분야를 취재한다.",1992-03-31,ko,KR,58.8234,8,1,"9,910,767",/pYCWmCNoKl7rJzK6VWiOZj7Xwmu.jpg,/quiGRuMl7gqk2s6lRkwS8bRwlYZ.jpg
62915,산너머 남촌에는,산너머 남촌에는,"시골로 향하는 진석네의 이삿짐 트럭. 이혼 후 아이 셋 딸린 홀애비가 된 진석은 서울 생활에 종지부를 찍고 귀농을 택한다. 그러나 귀농 첫날부터 녹녹치가 않다. 큰 딸 해별은 폐가나 다름없는 시골집을 보자마자 당장 서울로 돌아가자며 진석의 속을 태우고, 쌍둥이 해영과 동녘은 엄마가 보고 싶다고 울어댄다. 거기다 콩농사를 지을 생각으로 계약한 땅이 맹지라는 사실을 알게 되면서 진석은 그제서야 사기를 당했음을 알게 된다. 한편, 승주의 아들 현은 엄마를 찾겠다며 서울로 향하는 쌍둥이와 동행을 하게 되고... 사라진 아이들 때문에 온 마을이 발칵 뒤집힘은 물론 진석과 승주는 아이들을 찾으러 서울로 동행하게 된다.",2007-10-24,ko,,79.9557,0,0,"181,075,110,765",/wKwEQ2sfHCGLGKTVneau5wGfEmX.jpg,
3729,거침없이 하이킥!,거침없이 하이킥,3대가 모여 사는 가족의 일상을 코믹하게 다룬 시트콤,2006-11-06,ko,KR,54.6394,8.538,13,"18,35",/iwyoNDYeVgQK8zxQCh7vrOlv8jt.jpg,/buLTIMHGzUOIgskUzqg7WML4vcV.jpg
35026,엠카운트다운,엠카운트다운,"가요 트렌드를 이끄는 대한민국 대표 가수들을 만날 수 있는 K-POP CHART SHOW! Mnet USA와 Mnet Japan, Channel M을 통해 전세계 13개국에 방송되며, 세계 어디서나 Mwave를 통해 시청할 수 있습니다.",2004-07-29,ko,KR,77.9824,2,2,10764,/hORGaqUt13CTLlVUx5KUdiwaGl0.jpg,/qucfvVPZtoOfpgV4moXyLOEAE6E.jpg
52823,주간 아이돌,주간 아이돌,버라이어티와 100% 리얼의 콜라보로 아이돌의 숨은 매력을 집중 탐구하는 BRAND NEW 아이돌 프로그램,2011-07-23,ko,KR,73.2337,7.063,8,10767,/8StDvXrNkPWJDyotJyFB0XF9gKF.jpg,/tb0w5OFohHZAv3h5GkT8ajYnanp.jpg
64770,감자별 2013QR3,감자별 2013QR3,2013년 어느 날 의문의 행성 '감자별'이 지구로 날아오고 이 때문에 벌어지는 노씨 일가의 좌충우돌 멘붕 스토리를 담은 일일시트콤.,2013-09-23,ko,KR,41.1267,7,2,"35,18,10751,10749,10765",/8HLs1vyor0iHcKKHosrtxWfG8LL.jpg,/6h8T2K0a5smf7x5KzYpqDcAcw3d.jpg
18495,논스톱,논스톱,문화 대학교의 밴드 동아리인 논스톱 밴드를 주무대로 펼쳐지는 대학생들의 사랑과 우정을 담은 청춘 시트콤 프로그램,2000-05-15,ko,KR,76.9287,4.4,5,"18,35",/elXJzhz1dM0lO7fK2BfO2pVtC7l.jpg,/6HBi1vfb70PfeTx78BKv2md42mm.jpg
129121,아현동 마님,아현동 마님,"검찰청 검사들의 힘겹지만 정의로운 싸움과 온갖 인간 군상들과의 만남 속에서 벌어지는 그들의 인간적인 모습, 사랑을 통해 진정한 정의에 대해 생각해보자는 취지의 드라마",2007-07-16,ko,,52.5022,0,0,10751,/akzWuAsfF1XeH4XXkxt3MMNqYBa.jpg,/szYLHTlAL8tymBPS5xal6jswpCh.jpg
